Fecha,Comunidad_Autonoma,Sensor,Valor
1991-05-01,Andalucia,Sensor_1,20.68
1991-05-02,Andalucia,Sensor_1,22.3
1991-05-03,Andalucia,Sensor_1,22.34
1991-05-04,Andalucia,Sensor_1,22.45
1991-05-05,Andalucia,Sensor_1,20.67
1991-05-06,Andalucia,Sensor_1,20.65
1991-05-07,Andalucia,Sensor_1,21.65
1991-05-08,Andalucia,Sensor_1,21.77
1991-05-09,Andalucia,Sensor_1,21.26
1991-05-10,Andalucia,Sensor_1,21.7
1991-05-11,Andalucia,Sensor_1,22.37
1991-05-12,Andalucia,Sensor_1,22.22
1991-05-13,Andalucia,Sensor_1,22.28
1991-05-14,Andalucia,Sensor_1,22.25
1991-05-15,Andalucia,Sensor_1,21.5
1991-05-16,Andalucia,Sensor_1,22.01
1991-05-17,Andalucia,Sensor_1,21.0
1991-05-18,Andalucia,Sensor_1,20.99
1991-05-19,Andalucia,Sensor_1,21.46
1991-05-20,Andalucia,Sensor_1,21.95
1991-05-21,Andalucia,Sensor_1,20.61
1991-05-22,Andalucia,Sensor_1,20.59
1991-05-23,Andalucia,Sensor_1,20.58
1991-05-24,Andalucia,Sensor_1,21.06
1991-05-25,Andalucia,Sensor_1,22.37
1991-05-26,Andalucia,Sensor_1,22.1
1991-05-27,Andalucia,Sensor_1,21.06
1991-05-28,Andalucia,Sensor_1,22.23
1991-05-29,Andalucia,Sensor_1,21.34
1991-05-30,Andalucia,Sensor_1,20.84
1991-05-31,Andalucia,Sensor_1,21.37
1991-06-01,Andalucia,Sensor_1,21.26
1991-06-02,Andalucia,Sensor_1,21.27
1991-06-03,Andalucia,Sensor_1,21.98
1991-06-04,Andalucia,Sensor_1,22.49
1991-06-05,Andalucia,Sensor_1,21.12
1991-06-06,Andalucia,Sensor_1,22.08
1991-06-07,Andalucia,Sensor_1,20.98
1991-06-08,Andalucia,Sensor_1,21.15
1991-06-09,Andalucia,Sensor_1,21.5
1991-06-10,Andalucia,Sensor_1,20.47
1991-06-11,Andalucia,Sensor_1,21.97
1991-06-12,Andalucia,Sensor_1,22.0
1991-06-13,Andalucia,Sensor_1,21.1
1991-06-14,Andalucia,Sensor_1,22.22
1991-06-15,Andalucia,Sensor_1,21.32
1991-06-16,Andalucia,Sensor_1,20.51
1991-06-17,Andalucia,Sensor_1,22.52
1991-06-18,Andalucia,Sensor_1,22.01
1991-06-19,Andalucia,Sensor_1,21.18
1991-06-20,Andalucia,Sensor_1,21.1
1991-06-21,Andalucia,Sensor_1,21.33
1991-06-22,Andalucia,Sensor_1,21.34
1991-06-23,Andalucia,Sensor_1,21.36
1991-06-24,Andalucia,Sensor_1,21.39
1991-06-25,Andalucia,Sensor_1,21.56
1991-06-26,Andalucia,Sensor_1,22.02
1991-06-27,Andalucia,Sensor_1,21.43
1991-06-28,Andalucia,Sensor_1,21.35
1991-06-29,Andalucia,Sensor_1,21.14
1991-06-30,Andalucia,Sensor_1,21.04
1991-07-01,Andalucia,Sensor_1,22.31
1991-07-02,Andalucia,Sensor_1,21.66
1991-07-03,Andalucia,Sensor_1,21.23
1991-07-04,Andalucia,Sensor_1,22.56
1991-07-05,Andalucia,Sensor_1,22.56
1991-07-06,Andalucia,Sensor_1,22.12
1991-07-07,Andalucia,Sensor_1,21.33
1991-07-08,Andalucia,Sensor_1,21.23
1991-07-09,Andalucia,Sensor_1,20.56
1991-07-10,Andalucia,Sensor_1,21.43
1991-07-11,Andalucia,Sensor_1,21.81
1991-07-12,Andalucia,Sensor_1,21.79
1991-07-13,Andalucia,Sensor_1,22.52
1991-07-14,Andalucia,Sensor_1,21.64
1991-07-15,Andalucia,Sensor_1,21.11
1991-07-16,Andalucia,Sensor_1,21.16
1991-07-17,Andalucia,Sensor_1,20.97
1991-07-18,Andalucia,Sensor_1,22.35
1991-07-19,Andalucia,Sensor_1,21.47
1991-07-20,Andalucia,Sensor_1,21.65
1991-07-21,Andalucia,Sensor_1,21.32
1991-07-22,Andalucia,Sensor_1,21.37
1991-07-23,Andalucia,Sensor_1,22.17
1991-07-24,Andalucia,Sensor_1,22.0
1991-07-25,Andalucia,Sensor_1,21.32
1991-07-26,Andalucia,Sensor_1,21.26
1991-07-27,Andalucia,Sensor_1,21.51
1991-07-28,Andalucia,Sensor_1,21.5
1991-07-29,Andalucia,Sensor_1,21.55
1991-07-30,Andalucia,Sensor_1,20.79
1991-07-31,Andalucia,Sensor_1,20.84
1991-08-01,Andalucia,Sensor_1,21.84
1991-08-02,Andalucia,Sensor_1,21.15
1991-08-03,Andalucia,Sensor_1,20.91
1991-08-04,Andalucia,Sensor_1,21.83
1991-08-05,Andalucia,Sensor_1,22.13
1991-08-06,Andalucia,Sensor_1,22.19
1991-08-07,Andalucia,Sensor_1,20.93
1991-08-08,Andalucia,Sensor_1,21.95
1991-08-09,Andalucia,Sensor_1,22.2
1991-08-10,Andalucia,Sensor_1,21.64
1991-08-11,Andalucia,Sensor_1,22.51
1991-08-12,Andalucia,Sensor_1,22.22
1991-08-13,Andalucia,Sensor_1,22.16
1991-08-14,Andalucia,Sensor_1,22.26
1991-08-15,Andalucia,Sensor_1,20.64
1991-08-16,Andalucia,Sensor_1,22.19
1991-08-17,Andalucia,Sensor_1,21.27
1991-08-18,Andalucia,Sensor_1,21.36
1991-08-19,Andalucia,Sensor_1,21.71
1991-08-20,Andalucia,Sensor_1,21.15
1991-08-21,Andalucia,Sensor_1,21.78
1991-08-22,Andalucia,Sensor_1,21.81
1991-08-23,Andalucia,Sensor_1,21.43
1991-08-24,Andalucia,Sensor_1,22.03
1991-08-25,Andalucia,Sensor_1,21.11
1991-08-26,Andalucia,Sensor_1,21.96
1991-08-27,Andalucia,Sensor_1,20.79
1991-08-28,Andalucia,Sensor_1,21.4
1991-08-29,Andalucia,Sensor_1,21.88
1991-08-30,Andalucia,Sensor_1,21.13
1991-08-31,Andalucia,Sensor_1,20.94
1991-09-01,Andalucia,Sensor_1,21.64
1991-09-02,Andalucia,Sensor_1,22.27
1991-09-03,Andalucia,Sensor_1,21.88
1991-09-04,Andalucia,Sensor_1,22.31
1991-09-05,Andalucia,Sensor_1,20.72
1991-09-06,Andalucia,Sensor_1,20.65
1991-09-07,Andalucia,Sensor_1,21.84
1991-09-08,Andalucia,Sensor_1,20.73
1991-09-09,Andalucia,Sensor_1,21.96
1991-09-10,Andalucia,Sensor_1,22.69
1991-09-11,Andalucia,Sensor_1,20.81
1991-09-12,Andalucia,Sensor_1,21.88
1991-09-13,Andalucia,Sensor_1,21.4
1991-09-14,Andalucia,Sensor_1,21.66
1991-09-15,Andalucia,Sensor_1,21.27
1991-09-16,Andalucia,Sensor_1,21.55
1991-09-17,Andalucia,Sensor_1,20.94
1991-09-18,Andalucia,Sensor_1,22.48
1991-09-19,Andalucia,Sensor_1,22.6
1991-09-20,Andalucia,Sensor_1,21.13
1991-09-21,Andalucia,Sensor_1,22.11
1991-09-22,Andalucia,Sensor_1,22.73
1991-09-23,Andalucia,Sensor_1,21.14
1991-09-24,Andalucia,Sensor_1,21.56
1991-09-25,Andalucia,Sensor_1,20.99
1991-09-26,Andalucia,Sensor_1,21.23
1991-09-27,Andalucia,Sensor_1,21.71
1991-09-28,Andalucia,Sensor_1,21.05
1991-09-29,Andalucia,Sensor_1,22.23
1991-09-30,Andalucia,Sensor_1,21.96
1991-10-01,Andalucia,Sensor_1,21.39
1991-10-02,Andalucia,Sensor_1,22.13
1991-10-03,Andalucia,Sensor_1,22.53
1991-10-04,Andalucia,Sensor_1,21.61
1991-10-05,Andalucia,Sensor_1,22.61
1991-10-06,Andalucia,Sensor_1,22.68
1991-10-07,Andalucia,Sensor_1,21.45
1991-10-08,Andalucia,Sensor_1,22.77
1991-10-09,Andalucia,Sensor_1,21.59
1991-10-10,Andalucia,Sensor_1,22.31
1991-10-11,Andalucia,Sensor_1,22.43
1991-10-12,Andalucia,Sensor_1,22.42
1991-10-13,Andalucia,Sensor_1,21.91
1991-10-14,Andalucia,Sensor_1,22.34
1991-10-15,Andalucia,Sensor_1,21.65
1991-10-16,Andalucia,Sensor_1,21.32
1991-10-17,Andalucia,Sensor_1,21.51
1991-10-18,Andalucia,Sensor_1,20.78
1991-10-19,Andalucia,Sensor_1,22.85
1991-10-20,Andalucia,Sensor_1,21.28
1991-10-21,Andalucia,Sensor_1,21.73
1991-10-22,Andalucia,Sensor_1,22.05
1991-10-23,Andalucia,Sensor_1,21.22
1991-10-24,Andalucia,Sensor_1,22.24
1991-10-25,Andalucia,Sensor_1,22.74
1991-10-26,Andalucia,Sensor_1,22.38
1991-10-27,Andalucia,Sensor_1,20.95
1991-10-28,Andalucia,Sensor_1,22.18
1991-10-29,Andalucia,Sensor_1,22.61
1991-10-30,Andalucia,Sensor_1,21.88
1991-10-31,Andalucia,Sensor_1,21.93
1991-11-01,Andalucia,Sensor_1,22.95
1991-11-02,Andalucia,Sensor_1,21.01
1991-11-03,Andalucia,Sensor_1,22.88
1991-11-04,Andalucia,Sensor_1,22.63
1991-11-05,Andalucia,Sensor_1,22.64
1991-11-06,Andalucia,Sensor_1,21.55
1991-11-07,Andalucia,Sensor_1,22.12
1991-11-08,Andalucia,Sensor_1,21.2
1991-11-09,Andalucia,Sensor_1,22.97
1991-11-10,Andalucia,Sensor_1,22.49
1991-11-11,Andalucia,Sensor_1,21.35
1991-11-12,Andalucia,Sensor_1,22.57
1991-11-13,Andalucia,Sensor_1,22.59
1991-11-14,Andalucia,Sensor_1,21.89
1991-11-15,Andalucia,Sensor_1,22.7
1991-11-16,Andalucia,Sensor_1,22.84
1991-11-17,Andalucia,Sensor_1,21.46
1991-11-18,Andalucia,Sensor_1,21.61
1991-11-19,Andalucia,Sensor_1,21.86
1991-11-20,Andalucia,Sensor_1,21.56
1991-11-21,Andalucia,Sensor_1,21.02
1991-11-22,Andalucia,Sensor_1,21.61
1991-11-23,Andalucia,Sensor_1,22.6
1991-11-24,Andalucia,Sensor_1,22.16
1991-11-25,Andalucia,Sensor_1,22.54
1991-11-26,Andalucia,Sensor_1,22.3
1991-11-27,Andalucia,Sensor_1,22.87
1991-11-28,Andalucia,Sensor_1,21.85
1991-11-29,Andalucia,Sensor_1,21.97
1991-11-30,Andalucia,Sensor_1,22.36
1991-12-01,Andalucia,Sensor_1,22.08
1991-12-02,Andalucia,Sensor_1,22.41
1991-12-03,Andalucia,Sensor_1,21.56
1991-12-04,Andalucia,Sensor_1,21.0
1991-12-05,Andalucia,Sensor_1,20.89
1991-12-06,Andalucia,Sensor_1,22.66
1991-12-07,Andalucia,Sensor_1,21.79
1991-12-08,Andalucia,Sensor_1,23.03
1991-12-09,Andalucia,Sensor_1,21.12
1991-12-10,Andalucia,Sensor_1,21.34
1991-12-11,Andalucia,Sensor_1,22.16
1991-12-12,Andalucia,Sensor_1,22.14
1991-12-13,Andalucia,Sensor_1,22.52
1991-12-14,Andalucia,Sensor_1,22.85
1991-12-15,Andalucia,Sensor_1,22.84
1991-12-16,Andalucia,Sensor_1,22.76
1991-12-17,Andalucia,Sensor_1,21.23
1991-12-18,Andalucia,Sensor_1,22.33
1991-12-19,Andalucia,Sensor_1,22.48
1991-12-20,Andalucia,Sensor_1,21.46
1991-12-21,Andalucia,Sensor_1,22.41
1991-12-22,Andalucia,Sensor_1,22.57
1991-12-23,Andalucia,Sensor_1,22.5
1991-12-24,Andalucia,Sensor_1,21.5
1991-12-25,Andalucia,Sensor_1,21.43
1991-12-26,Andalucia,Sensor_1,22.38
1991-12-27,Andalucia,Sensor_1,21.8
1991-12-28,Andalucia,Sensor_1,22.89
1991-12-29,Andalucia,Sensor_1,22.31
1991-12-30,Andalucia,Sensor_1,22.02
1991-12-31,Andalucia,Sensor_1,21.54
1991-01-01,Andalucia,Sensor_2,20.52
1991-01-02,Andalucia,Sensor_2,20.67
1991-01-03,Andalucia,Sensor_2,21.37
1991-01-04,Andalucia,Sensor_2,20.65
1991-01-05,Andalucia,Sensor_2,21.88
1991-01-06,Andalucia,Sensor_2,21.75
1991-01-07,Andalucia,Sensor_2,22.12
1991-01-08,Andalucia,Sensor_2,20.98
1991-01-09,Andalucia,Sensor_2,20.24
1991-01-10,Andalucia,Sensor_2,21.89
1991-01-11,Andalucia,Sensor_2,20.86
1991-01-12,Andalucia,Sensor_2,20.68
1991-01-13,Andalucia,Sensor_2,21.91
1991-01-14,Andalucia,Sensor_2,21.17
1991-01-15,Andalucia,Sensor_2,20.91
1991-01-16,Andalucia,Sensor_2,20.85
1991-01-17,Andalucia,Sensor_2,20.69
1991-01-18,Andalucia,Sensor_2,21.47
1991-01-19,Andalucia,Sensor_2,20.22
1991-01-20,Andalucia,Sensor_2,21.27
1991-01-21,Andalucia,Sensor_2,21.78
1991-01-22,Andalucia,Sensor_2,21.37
1991-01-23,Andalucia,Sensor_2,20.55
1991-01-24,Andalucia,Sensor_2,20.8
1991-01-25,Andalucia,Sensor_2,21.94
1991-01-26,Andalucia,Sensor_2,20.29
1991-01-27,Andalucia,Sensor_2,21.89
1991-01-28,Andalucia,Sensor_2,21.18
1991-01-29,Andalucia,Sensor_2,21.14
1991-01-30,Andalucia,Sensor_2,21.78
1991-01-31,Andalucia,Sensor_2,21.98
1991-02-01,Andalucia,Sensor_2,22.01
1991-02-02,Andalucia,Sensor_2,21.94
1991-02-03,Andalucia,Sensor_2,20.5
1991-02-04,Andalucia,Sensor_2,20.44
1991-02-05,Andalucia,Sensor_2,22.05
1991-02-06,Andalucia,Sensor_2,20.57
1991-02-07,Andalucia,Sensor_2,21.13
1991-02-08,Andalucia,Sensor_2,21.52
1991-02-09,Andalucia,Sensor_2,22.1
1991-02-10,Andalucia,Sensor_2,20.33
1991-02-11,Andalucia,Sensor_2,20.32
1991-02-12,Andalucia,Sensor_2,20.61
1991-02-13,Andalucia,Sensor_2,21.25
1991-02-14,Andalucia,Sensor_2,21.48
1991-02-15,Andalucia,Sensor_2,21.23
1991-02-16,Andalucia,Sensor_2,20.7
1991-02-17,Andalucia,Sensor_2,20.3
1991-02-18,Andalucia,Sensor_2,20.69
1991-02-19,Andalucia,Sensor_2,20.22
1991-02-20,Andalucia,Sensor_2,22.26
1991-02-21,Andalucia,Sensor_2,21.81
1991-02-22,Andalucia,Sensor_2,21.94
1991-02-23,Andalucia,Sensor_2,21.35
1991-02-24,Andalucia,Sensor_2,20.53
1991-02-25,Andalucia,Sensor_2,20.41
1991-02-26,Andalucia,Sensor_2,20.99
1991-02-27,Andalucia,Sensor_2,20.35
1991-02-28,Andalucia,Sensor_2,21.37
1991-03-01,Andalucia,Sensor_2,22.01
1991-03-02,Andalucia,Sensor_2,20.22
1991-03-03,Andalucia,Sensor_2,21.28
1991-03-04,Andalucia,Sensor_2,21.48
1991-03-05,Andalucia,Sensor_2,21.89
1991-03-06,Andalucia,Sensor_2,21.8
1991-03-07,Andalucia,Sensor_2,22.31
1991-03-08,Andalucia,Sensor_2,21.16
1991-03-09,Andalucia,Sensor_2,20.76
1991-03-10,Andalucia,Sensor_2,20.77
1991-03-11,Andalucia,Sensor_2,21.19
1991-03-12,Andalucia,Sensor_2,22.33
1991-03-13,Andalucia,Sensor_2,20.62
1991-03-14,Andalucia,Sensor_2,20.75
1991-03-15,Andalucia,Sensor_2,21.77
1991-03-16,Andalucia,Sensor_2,20.23
1991-03-17,Andalucia,Sensor_2,21.81
1991-03-18,Andalucia,Sensor_2,21.29
1991-03-19,Andalucia,Sensor_2,20.71
1991-03-20,Andalucia,Sensor_2,22.13
1991-03-21,Andalucia,Sensor_2,22.18
1991-03-22,Andalucia,Sensor_2,22.3
1991-03-23,Andalucia,Sensor_2,21.95
1991-03-24,Andalucia,Sensor_2,22.0
1991-03-25,Andalucia,Sensor_2,20.94
1991-03-26,Andalucia,Sensor_2,21.6
1991-03-27,Andalucia,Sensor_2,20.49
1991-03-28,Andalucia,Sensor_2,21.87
1991-03-29,Andalucia,Sensor_2,20.65
1991-03-30,Andalucia,Sensor_2,21.47
1991-03-31,Andalucia,Sensor_2,20.89
1991-04-01,Andalucia,Sensor_2,20.51
1991-04-02,Andalucia,Sensor_2,21.47
1991-04-03,Andalucia,Sensor_2,22.36
1991-04-04,Andalucia,Sensor_2,20.9
1991-04-05,Andalucia,Sensor_2,20.94
1991-04-06,Andalucia,Sensor_2,21.94
1991-04-07,Andalucia,Sensor_2,21.91
1991-04-08,Andalucia,Sensor_2,20.73
1991-04-09,Andalucia,Sensor_2,22.05
1991-04-10,Andalucia,Sensor_2,22.14
1991-04-11,Andalucia,Sensor_2,20.65
1991-04-12,Andalucia,Sensor_2,20.74
1991-04-13,Andalucia,Sensor_2,21.84
1991-04-14,Andalucia,Sensor_2,21.99
1991-04-15,Andalucia,Sensor_2,22.04
1991-04-16,Andalucia,Sensor_2,22.37
1991-04-17,Andalucia,Sensor_2,20.61
1991-04-18,Andalucia,Sensor_2,20.6
1991-04-19,Andalucia,Sensor_2,20.47
1991-04-20,Andalucia,Sensor_2,22.34
1991-04-21,Andalucia,Sensor_2,20.91
1991-04-22,Andalucia,Sensor_2,20.69
1991-04-23,Andalucia,Sensor_2,20.69
1991-04-24,Andalucia,Sensor_2,20.88
1991-04-25,Andalucia,Sensor_2,21.96
1991-04-26,Andalucia,Sensor_2,20.6
1991-04-27,Andalucia,Sensor_2,21.56
1991-04-28,Andalucia,Sensor_2,20.46
1991-04-29,Andalucia,Sensor_2,21.38
1991-04-30,Andalucia,Sensor_2,20.47
1991-05-01,Andalucia,Sensor_2,21.69
1991-05-02,Andalucia,Sensor_2,20.5
1991-05-03,Andalucia,Sensor_2,20.96
1991-05-04,Andalucia,Sensor_2,21.55
1991-05-05,Andalucia,Sensor_2,21.14
1991-05-06,Andalucia,Sensor_2,22.32
1991-05-07,Andalucia,Sensor_2,22.18
1991-05-08,Andalucia,Sensor_2,20.53
1991-05-09,Andalucia,Sensor_2,20.6
1991-05-10,Andalucia,Sensor_2,20.68
1991-05-11,Andalucia,Sensor_2,21.66
1991-05-12,Andalucia,Sensor_2,20.67
1991-05-13,Andalucia,Sensor_2,21.69
1991-05-14,Andalucia,Sensor_2,22.19
1991-05-15,Andalucia,Sensor_2,20.75
1991-05-16,Andalucia,Sensor_2,22.21
1991-05-17,Andalucia,Sensor_2,21.82
1991-05-18,Andalucia,Sensor_2,22.32
1991-05-19,Andalucia,Sensor_2,21.65
1991-05-20,Andalucia,Sensor_2,21.52
1991-05-21,Andalucia,Sensor_2,21.84
1991-05-22,Andalucia,Sensor_2,20.76
1991-05-23,Andalucia,Sensor_2,21.13
1991-05-24,Andalucia,Sensor_2,21.52
1991-05-25,Andalucia,Sensor_2,20.68
1991-05-26,Andalucia,Sensor_2,22.24
1991-05-27,Andalucia,Sensor_2,22.45
1991-05-28,Andalucia,Sensor_2,20.42
1991-05-29,Andalucia,Sensor_2,20.64
1991-05-30,Andalucia,Sensor_2,22.54
1991-05-31,Andalucia,Sensor_2,22.38
1991-06-01,Andalucia,Sensor_2,21.26
1991-06-02,Andalucia,Sensor_2,22.28
1991-06-03,Andalucia,Sensor_2,21.1
1991-06-04,Andalucia,Sensor_2,20.73
1991-06-05,Andalucia,Sensor_2,21.64
1991-06-06,Andalucia,Sensor_2,21.45
1991-06-07,Andalucia,Sensor_2,21.5
1991-06-08,Andalucia,Sensor_2,22.1
1991-06-09,Andalucia,Sensor_2,22.51
1991-06-10,Andalucia,Sensor_2,22.4
1991-06-11,Andalucia,Sensor_2,21.01
1991-06-12,Andalucia,Sensor_2,21.03
1991-06-13,Andalucia,Sensor_2,22.53
1991-06-14,Andalucia,Sensor_2,21.72
1991-06-15,Andalucia,Sensor_2,22.18
1991-06-16,Andalucia,Sensor_2,22.13
1991-06-17,Andalucia,Sensor_2,20.81
1991-06-18,Andalucia,Sensor_2,21.65
1991-06-19,Andalucia,Sensor_2,21.94
1991-06-20,Andalucia,Sensor_2,22.4
1991-06-21,Andalucia,Sensor_2,22.02
1991-06-22,Andalucia,Sensor_2,20.66
1991-06-23,Andalucia,Sensor_2,21.95
1991-06-24,Andalucia,Sensor_2,21.67
1991-06-25,Andalucia,Sensor_2,21.44
1991-06-26,Andalucia,Sensor_2,21.12
1991-06-27,Andalucia,Sensor_2,21.79
1991-06-28,Andalucia,Sensor_2,22.19
1991-06-29,Andalucia,Sensor_2,20.73
1991-06-30,Andalucia,Sensor_2,20.9
1991-07-01,Andalucia,Sensor_2,20.82
1991-07-02,Andalucia,Sensor_2,20.83
1991-07-03,Andalucia,Sensor_2,20.73
1991-07-04,Andalucia,Sensor_2,20.75
1991-07-05,Andalucia,Sensor_2,22.45
1991-07-06,Andalucia,Sensor_2,22.49
1991-07-07,Andalucia,Sensor_2,21.96
1991-07-08,Andalucia,Sensor_2,22.63
1991-07-09,Andalucia,Sensor_2,21.93
1991-07-10,Andalucia,Sensor_2,20.94
1991-07-11,Andalucia,Sensor_2,22.07
1991-07-12,Andalucia,Sensor_2,20.88
1991-07-13,Andalucia,Sensor_2,20.67
1991-07-14,Andalucia,Sensor_2,21.53
1991-07-15,Andalucia,Sensor_2,20.82
1991-07-16,Andalucia,Sensor_2,20.57
1991-07-17,Andalucia,Sensor_2,22.66
1991-07-18,Andalucia,Sensor_2,22.22
1991-07-19,Andalucia,Sensor_2,20.68
1991-07-20,Andalucia,Sensor_2,22.49
1991-07-21,Andalucia,Sensor_2,22.0
1991-07-22,Andalucia,Sensor_2,21.41
1991-07-23,Andalucia,Sensor_2,21.39
1991-07-24,Andalucia,Sensor_2,22.25
1991-07-25,Andalucia,Sensor_2,22.17
1991-07-26,Andalucia,Sensor_2,22.39
1991-07-27,Andalucia,Sensor_2,22.46
1991-07-28,Andalucia,Sensor_2,22.4
1991-07-29,Andalucia,Sensor_2,20.86
1991-07-30,Andalucia,Sensor_2,22.19
1991-07-31,Andalucia,Sensor_2,21.44
1991-08-01,Andalucia,Sensor_2,21.22
1991-08-02,Andalucia,Sensor_2,20.6
1991-08-03,Andalucia,Sensor_2,22.64
1991-08-04,Andalucia,Sensor_2,22.36
